Survived,Title,Pclass,Fare,Sex,Age,SibSp,Parch,Family_Number_Sum,GroupID
0,1,3,15.5,0,28.0,1,0,1,361
1,2,3,7.75,1,28.0,0,0,0,475
0,1,3,21.6792,0,28.0,2,0,2,567
0,3,3,17.8,1,18.0,1,0,1,24
0,4,3,39.6875,0,7.0,4,1,5,493
0,1,3,7.8,0,21.0,0,0,0,466
1,3,1,76.7292,1,49.0,1,0,1,253
1,3,2,26.0,1,29.0,1,0,1,191
0,1,1,61.9792,0,65.0,0,1,1,488
1,1,1,35.5,0,28.0,0,0,0,685
1,2,2,10.5,1,21.0,0,0,0,556
0,1,3,7.2292,0,28.5,0,0,0,467
1,2,2,27.75,1,5.0,1,2,3,671
0,4,3,46.9,0,11.0,5,2,7,230
0,1,3,7.2292,0,22.0,0,0,0,588
1,2,1,80.0,1,38.0,0,0,0,294
0,1,1,83.475,0,45.0,1,0,1,256
0,4,3,27.9,0,4.0,3,2,5,594
0,1,1,27.7208,0,28.0,0,0,0,614
1,4,3,15.2458,0,28.0,1,1,2,440
1,3,2,10.5,1,29.0,0,0,0,468
0,1,3,8.1583,0,19.0,0,0,0,139
1,2,3,7.925,1,17.0,4,2,6,17
0,1,3,8.6625,0,26.0,2,0,2,336
0,1,2,10.5,0,32.0,0,0,0,305
0,2,3,46.9,1,16.0,5,2,7,230
0,1,2,73.5,0,21.0,0,0,0,286
0,1,3,14.4542,0,26.0,1,0,1,119
1,1,3,56.4958,0,32.0,0,0,0,61
0,1,3,7.65,0,25.0,0,0,0,429
0,1,3,7.8958,0,28.0,0,0,0,609
0,1,3,8.05,0,28.0,0,0,0,442
1,4,2,29.0,0,0.83,0,2,2,93
1,2,3,12.475,1,30.0,0,0,0,170
0,1,3,9.0,0,22.0,0,0,0,661
1,1,3,9.5,0,29.0,0,0,0,577
1,2,3,7.7875,1,28.0,0,0,0,404
0,1,1,47.1,0,28.0,0,0,0,104
1,2,2,10.5,1,17.0,0,0,0,295
1,3,3,15.85,1,33.0,3,0,3,34
0,1,3,34.375,0,16.0,1,3,4,196
0,1,3,8.05,0,28.0,0,0,0,598
1,2,1,263.0,1,23.0,3,2,5,198
0,1,3,8.05,0,24.0,0,0,0,108
0,1,3,8.05,0,29.0,0,0,0,117
0,1,3,7.8542,0,20.0,0,0,0,18
0,1,1,61.175,0,46.0,1,0,1,109
0,1,3,20.575,0,26.0,1,2,3,158
0,1,3,7.25,0,59.0,0,0,0,138
0,1,3,8.05,0,28.0,0,0,0,580
0,1,1,34.6542,0,71.0,0,0,0,227
1,1,1,63.3583,0,23.0,0,1,1,235
1,3,2,23.0,1,34.0,0,1,1,166
0,1,2,26.0,0,34.0,1,0,1,322
0,2,3,7.8958,1,28.0,0,0,0,513
0,1,3,7.8958,0,28.0,0,0,0,514
0,1,1,77.2875,0,21.0,0,1,1,673
0,1,3,8.6542,0,33.0,0,0,0,312
0,1,3,7.925,0,37.0,2,0,2,239
0,1,3,7.8958,0,28.0,0,0,0,425
1,2,3,7.65,1,21.0,0,0,0,565
1,1,3,7.775,0,28.0,0,0,0,439
0,1,3,7.8958,0,38.0,0,0,0,530
1,2,3,24.15,1,28.0,1,0,1,435
0,1,1,52.0,0,47.0,0,0,0,523
0,2,3,14.4542,1,14.5,1,0,1,693
0,1,3,8.05,0,22.0,0,0,0,45
0,2,3,9.825,1,20.0,1,0,1,319
0,2,3,14.4583,1,17.0,0,0,0,29
0,1,3,7.925,0,21.0,0,0,0,504
0,1,3,7.75,0,70.5,0,0,0,133
0,1,2,21.0,0,29.0,1,0,1,649
0,1,1,247.5208,0,24.0,0,1,1,48
0,2,3,31.275,1,2.0,4,2,6,17
0,1,2,73.5,0,21.0,2,0,2,274
0,1,3,8.05,0,28.0,0,0,0,433
0,1,2,30.0708,0,32.5,1,0,1,452
1,2,2,13.0,1,32.5,0,0,0,667
0,1,1,77.2875,0,54.0,0,1,1,673
1,4,3,11.2417,0,12.0,1,0,1,461
0,1,3,7.75,0,28.0,0,0,0,410
1,1,3,7.1417,0,24.0,0,0,0,386
1,2,3,22.3583,1,28.0,1,1,2,511
0,1,3,6.975,0,45.0,0,0,0,180
0,1,3,7.8958,0,33.0,0,0,0,172
0,1,3,7.05,0,20.0,0,0,0,123
0,3,3,14.5,1,47.0,1,0,1,545
1,3,2,26.0,1,29.0,1,0,1,669
0,1,2,13.0,0,25.0,0,0,0,603
0,1,2,15.0458,0,23.0,0,0,0,536
1,2,1,26.2833,1,19.0,0,2,2,458
0,1,1,53.1,0,37.0,1,0,1,208
0,1,3,9.2167,0,16.0,0,0,0,486
0,1,1,79.2,0,24.0,0,0,0,218
0,3,3,15.2458,1,28.0,0,2,2,71
1,2,3,7.75,1,22.0,0,0,0,469
1,3,3,15.85,1,24.0,1,0,1,242
0,1,3,6.75,0,19.0,0,0,0,83
0,1,2,11.5,0,18.0,0,0,0,19
0,1,2,36.75,0,19.0,1,1,2,459
1,1,3,7.7958,0,27.0,0,0,0,16
0,2,3,34.375,1,9.0,2,2,4,196
0,1,2,26.0,0,36.5,0,2,2,454
0,6,2,13.0,0,42.0,0,0,0,88
0,6,2,12.525,0,51.0,0,0,0,46
1,3,1,66.6,1,22.0,1,0,1,502
0,1,3,8.05,0,55.5,0,0,0,416
0,1,3,14.5,0,40.5,0,2,2,699
0,1,3,7.3125,0,28.0,0,0,0,481
0,1,1,61.3792,0,51.0,0,1,1,682
1,2,3,7.7333,1,16.0,0,0,0,223
0,1,3,8.05,0,30.0,0,0,0,136
0,1,3,8.6625,0,28.0,0,0,0,601
0,4,3,69.55,0,28.0,8,2,10,563
0,1,3,16.1,0,44.0,0,1,1,140
1,3,2,15.75,1,40.0,0,0,0,666
0,1,3,7.775,0,26.0,0,0,0,56
0,1,3,8.6625,0,17.0,0,0,0,94
0,4,3,39.6875,0,1.0,4,1,5,493
1,4,3,20.525,0,9.0,0,2,2,228
1,3,1,55.0,1,28.0,0,1,1,115
0,3,3,27.9,1,45.0,1,4,5,594
0,1,1,25.925,0,28.0,0,0,0,47
0,1,3,56.4958,0,28.0,0,0,0,374
0,1,1,33.5,0,61.0,0,0,0,652
0,4,3,29.125,0,4.0,4,1,5,535
1,2,3,11.1333,1,1.0,1,1,2,314
0,1,3,7.925,0,21.0,0,0,0,591
0,1,1,30.6958,0,56.0,0,0,0,602
0,1,3,7.8542,0,18.0,1,1,2,339
0,4,3,25.4667,0,28.0,3,1,4,355
0,2,1,28.7125,1,50.0,0,0,0,297
0,1,2,13.0,0,30.0,0,0,0,243
0,1,3,0.0,0,36.0,0,0,0,362
0,2,3,69.55,1,28.0,8,2,10,563
0,1,2,15.05,0,28.0,0,0,0,508
0,4,3,31.3875,0,9.0,4,2,6,27
1,4,2,39.0,0,1.0,2,1,3,52
1,2,3,22.025,1,4.0,0,2,2,335
0,1,1,50.0,0,28.0,0,0,0,550
1,3,3,15.5,1,28.0,1,0,1,472
1,1,1,26.55,0,45.0,0,0,0,548
0,1,3,15.5,0,40.0,1,1,2,72
0,1,3,7.8958,0,36.0,0,0,0,646
1,3,2,13.0,1,32.0,0,0,0,520
0,1,2,13.0,0,19.0,0,0,0,100
1,2,3,7.8542,1,19.0,1,0,1,14
1,4,2,26.0,0,3.0,1,1,2,454
1,3,1,27.7208,1,44.0,0,0,0,80
1,2,1,146.5208,1,58.0,0,0,0,382
0,1,3,7.75,0,28.0,0,0,0,417
0,1,3,8.4042,0,42.0,0,1,1,482
1,2,3,7.75,1,28.0,0,0,0,384
0,2,2,13.0,1,24.0,0,0,0,692
0,1,3,9.5,0,28.0,0,0,0,654
0,1,3,69.55,0,28.0,8,2,10,563
0,1,3,6.4958,0,34.0,0,0,0,311
0,1,3,7.225,0,45.5,0,0,0,689
1,1,3,8.05,0,18.0,0,0,0,124
0,2,3,10.4625,1,2.0,0,1,1,619
0,1,3,15.85,0,32.0,1,0,1,33
1,1,3,18.7875,0,26.0,0,0,0,7
1,2,3,7.75,1,16.0,0,0,0,103
1,1,1,31.0,0,40.0,0,0,0,67
0,1,3,7.05,0,24.0,0,0,0,10
1,2,2,21.0,1,35.0,0,0,0,95
0,1,3,7.25,0,22.0,0,0,0,507
0,1,2,13.0,0,30.0,0,0,0,224
0,1,3,7.75,0,28.0,1,0,1,332
1,2,1,113.275,1,31.0,1,0,1,456
1,2,3,7.925,1,27.0,0,0,0,285
0,1,2,27.0,0,42.0,1,0,1,299
1,2,1,76.2917,1,32.0,0,0,0,49
0,1,2,10.5,0,30.0,0,0,0,255
1,1,3,8.05,0,16.0,0,0,0,621
0,1,2,13.0,0,27.0,0,0,0,75
0,1,3,8.05,0,51.0,0,0,0,233
0,1,3,7.8958,0,28.0,0,0,0,455
1,1,1,90.0,0,38.0,1,0,1,290
0,1,3,9.35,0,22.0,0,0,0,57
1,1,2,10.5,0,19.0,0,0,0,415
0,1,3,7.25,0,20.5,0,0,0,379
0,1,2,13.0,0,18.0,0,0,0,188
0,2,3,25.4667,1,28.0,3,1,4,355
1,3,1,83.475,1,35.0,1,0,1,256
0,1,3,7.775,0,29.0,0,0,0,351
0,1,2,13.5,0,59.0,0,0,0,593
1,2,3,31.3875,1,5.0,4,2,6,27
0,1,2,10.5,0,24.0,0,0,0,367
0,2,3,7.55,1,28.0,0,0,0,251
0,1,2,26.0,0,44.0,1,0,1,281
1,2,2,26.25,1,8.0,0,2,2,129
0,1,2,10.5,0,19.0,0,0,0,506
0,1,2,12.275,0,33.0,0,0,0,292
0,2,3,14.4542,1,28.0,1,0,1,693
1,2,3,15.5,1,28.0,1,0,1,446
0,1,2,10.5,0,29.0,0,0,0,126
0,1,3,7.125,0,22.0,0,0,0,387
0,1,3,7.225,0,30.0,0,0,0,29
0,5,1,90.0,0,44.0,2,0,2,423
0,2,3,7.775,1,25.0,0,0,0,369
1,3,2,14.5,1,24.0,0,2,2,244
1,1,1,52.5542,0,37.0,1,1,2,53
0,6,2,26.0,0,54.0,1,0,1,105
0,1,3,7.25,0,28.0,0,0,0,528
0,3,3,10.4625,1,29.0,1,1,2,620
0,1,1,26.55,0,62.0,0,0,0,612
0,1,3,16.1,0,30.0,1,0,1,375
0,3,3,20.2125,1,41.0,0,2,2,551
1,3,3,15.2458,1,29.0,0,2,2,642
1,3,1,79.2,1,28.0,0,0,0,632
1,2,1,86.5,1,30.0,0,0,0,114
1,2,1,512.3292,1,35.0,0,0,0,663
1,3,2,26.0,1,50.0,0,1,1,496
0,1,3,7.75,0,28.0,0,0,0,602
1,4,3,31.3875,0,3.0,4,2,6,27
0,1,1,79.65,0,52.0,1,1,2,627
0,1,1,0.0,0,40.0,0,0,0,257
0,2,3,7.75,1,28.0,0,0,0,271
0,1,2,10.5,0,36.0,0,0,0,529
0,1,3,39.6875,0,16.0,4,1,5,493
1,1,3,7.775,0,25.0,1,0,1,510
1,3,1,153.4625,1,58.0,0,1,1,232
1,2,1,135.6333,1,35.0,0,0,0,64
0,1,1,31.0,0,28.0,0,0,0,91
1,1,3,0.0,0,25.0,0,0,0,640
1,3,2,19.5,1,41.0,0,1,1,414
0,1,1,29.7,0,37.0,0,1,1,453
1,2,3,7.75,1,28.0,0,0,0,265
1,2,1,77.9583,1,63.0,1,0,1,21
0,2,3,7.75,1,45.0,0,0,0,370
0,1,2,0.0,0,28.0,0,0,0,494
0,4,3,29.125,0,7.0,4,1,5,535
1,3,3,20.25,1,35.0,1,1,2,1
0,1,3,7.75,0,65.0,0,0,0,174
0,1,3,7.8542,0,28.0,0,0,0,483
0,1,3,9.5,0,16.0,0,0,0,697
1,1,3,8.05,0,19.0,0,0,0,168
0,1,1,26.0,0,28.0,0,0,0,602
0,1,3,8.6625,0,33.0,0,0,0,610
1,1,3,9.5,0,30.0,0,0,0,696
0,1,3,7.8958,0,22.0,0,0,0,448
1,1,2,13.0,0,42.0,0,0,0,288
1,2,3,7.75,1,22.0,0,0,0,132
1,2,1,78.85,1,26.0,0,0,0,43
1,3,1,91.0792,1,19.0,1,0,1,63
0,1,2,12.875,0,36.0,0,0,0,365
0,2,3,8.85,1,24.0,0,0,0,240
0,1,3,7.8958,0,24.0,0,0,0,424
0,1,1,27.7208,0,28.0,0,0,0,366
0,1,3,7.2292,0,23.5,0,0,0,246
0,2,1,151.55,1,2.0,1,2,3,12
1,1,1,30.5,0,28.0,0,0,0,561
1,3,1,247.5208,1,50.0,0,1,1,48
1,2,3,7.75,1,28.0,0,0,0,329
1,1,3,23.25,0,28.0,2,0,2,403
0,1,3,0.0,0,19.0,0,0,0,313
1,2,2,12.35,1,28.0,0,0,0,327
0,1,3,8.05,0,28.0,0,0,0,681
1,4,1,151.55,0,0.92,1,2,3,12
1,2,1,110.8833,1,28.0,0,0,0,193
1,3,1,108.9,1,17.0,1,0,1,505
0,1,2,24.0,0,30.0,1,0,1,2
1,2,1,56.9292,1,30.0,0,0,0,200
1,2,1,83.1583,1,24.0,0,0,0,263
1,2,1,262.375,1,18.0,2,2,4,559
0,3,2,26.0,1,26.0,1,1,2,344
0,1,3,7.8958,0,28.0,0,0,0,270
0,1,2,26.25,0,43.0,1,1,2,259
1,2,3,7.8542,1,26.0,0,0,0,462
1,3,2,26.0,1,24.0,1,0,1,322
0,5,2,14.0,0,54.0,0,0,0,436
1,2,1,164.8667,1,31.0,0,2,2,674
1,3,1,134.5,1,40.0,1,1,2,606
0,1,3,7.25,0,22.0,0,0,0,160
0,1,3,7.8958,0,27.0,0,0,0,151
1,2,2,12.35,1,30.0,0,0,0,596
1,3,2,29.0,1,22.0,1,1,2,93
0,1,3,69.55,0,28.0,8,2,10,563
1,2,1,135.6333,1,36.0,0,0,0,688
0,1,3,6.2375,0,61.0,0,0,0,470
1,3,2,13.0,1,36.0,0,0,0,39
1,3,3,20.525,1,31.0,1,1,2,228
1,2,1,57.9792,1,16.0,0,1,1,275
1,2,3,23.25,1,28.0,2,0,2,403
0,1,1,28.5,0,45.5,0,0,0,497
0,1,1,153.4625,0,38.0,0,1,1,232
0,1,3,18.0,0,16.0,2,0,2,658
1,3,1,133.65,1,28.0,1,0,1,201
0,1,3,7.8958,0,28.0,0,0,0,159
0,1,1,66.6,0,29.0,1,0,1,502
1,2,1,134.5,1,41.0,0,0,0,84
1,1,3,8.05,0,45.0,0,0,0,145
0,1,1,35.5,0,45.0,0,0,0,66
1,4,2,26.0,0,2.0,1,1,2,454
1,2,1,263.0,1,24.0,3,2,5,198
0,1,2,13.0,0,28.0,0,0,0,127
0,1,2,13.0,0,25.0,0,0,0,573
0,1,2,13.0,0,36.0,0,0,0,199
1,2,2,13.0,1,24.0,0,0,0,80
1,2,2,13.0,1,40.0,0,0,0,602
1,3,3,16.1,1,28.0,1,0,1,157
1,4,3,15.9,0,3.0,1,1,2,137
0,1,3,8.6625,0,42.0,0,0,0,163
0,1,3,9.225,0,23.0,0,0,0,479
0,1,1,35.0,0,28.0,0,0,0,680
0,1,3,7.2292,0,15.0,1,1,2,182
0,1,3,17.8,0,25.0,1,0,1,24
0,1,3,7.225,0,28.0,0,0,0,690
0,1,3,9.5,0,28.0,0,0,0,655
1,2,1,55.0,1,22.0,0,1,1,74
0,2,2,13.0,1,38.0,0,0,0,207
1,2,3,7.8792,1,28.0,0,0,0,407
1,2,3,7.8792,1,28.0,0,0,0,428
0,1,3,27.9,0,40.0,1,4,5,594
0,1,2,27.7208,0,29.0,1,0,1,698
0,3,3,14.4542,1,45.0,0,1,1,42
0,1,3,7.05,0,35.0,0,0,0,26
0,1,3,15.5,0,28.0,1,0,1,472
0,1,3,7.25,0,30.0,0,0,0,3
1,3,1,75.25,1,60.0,1,0,1,664
1,3,3,7.2292,1,28.0,0,0,0,441
1,2,3,7.75,1,28.0,0,0,0,308
1,3,1,69.3,1,24.0,0,0,0,30
1,1,1,55.4417,0,25.0,1,0,1,250
0,1,3,6.4958,0,18.0,1,0,1,677
0,1,3,8.05,0,19.0,0,0,0,51
0,1,1,135.6333,0,22.0,0,0,0,540
0,2,3,21.075,1,3.0,3,1,4,492
1,3,1,82.1708,1,28.0,1,0,1,419
1,2,3,7.25,1,22.0,0,0,0,348
0,1,1,211.5,0,27.0,0,2,2,676
0,1,3,4.0125,0,20.0,0,0,0,59
0,1,3,7.775,0,19.0,0,0,0,238
1,2,1,227.525,1,42.0,0,0,0,60
1,2,3,15.7417,1,1.0,0,2,2,450
0,1,3,7.925,0,32.0,0,0,0,634
1,3,1,52.0,1,35.0,1,0,1,283
0,1,3,7.8958,0,28.0,0,0,0,521
0,1,2,73.5,0,18.0,0,0,0,154
0,4,3,46.9,0,1.0,5,2,7,230
1,2,2,13.0,1,36.0,0,0,0,85
0,1,3,7.7292,0,28.0,0,0,0,562
1,2,2,12.0,1,17.0,0,0,0,356
1,1,1,120.0,0,36.0,1,2,3,106
1,1,3,7.7958,0,21.0,0,0,0,302
0,1,3,7.925,0,28.0,2,0,2,239
1,2,1,113.275,1,23.0,1,0,1,456
1,3,3,16.7,1,24.0,0,2,2,568
0,1,3,7.7958,0,22.0,0,0,0,312
0,2,3,7.8542,1,31.0,0,0,0,483
0,1,2,26.0,0,46.0,0,0,0,409
0,5,2,10.5,0,23.0,0,0,0,491
1,3,2,12.65,1,28.0,0,0,0,644
1,1,3,7.925,0,39.0,0,0,0,464
0,1,3,8.05,0,26.0,0,0,0,4
0,2,3,9.825,1,21.0,1,0,1,319
0,1,3,15.85,0,28.0,1,0,1,242
0,2,3,8.6625,1,20.0,0,0,0,485
0,1,2,21.0,0,34.0,1,0,1,210
0,1,3,7.75,0,51.0,0,0,0,675
1,4,2,18.75,0,3.0,1,1,2,537
0,1,3,7.775,0,21.0,0,0,0,62
0,2,3,25.4667,1,28.0,3,1,4,355
0,1,3,7.8958,0,28.0,0,0,0,572
0,1,3,6.8583,0,28.0,0,0,0,258
1,2,1,90.0,1,33.0,1,0,1,422
0,1,2,0.0,0,28.0,0,0,0,144
1,1,3,7.925,0,44.0,0,0,0,622
0,3,3,8.05,1,28.0,0,0,0,413
1,3,2,32.5,1,34.0,1,1,2,173
1,2,2,13.0,1,18.0,0,2,2,582
0,1,2,13.0,0,30.0,0,0,0,399
0,2,3,24.15,1,10.0,0,2,2,651
0,1,3,7.8958,0,28.0,0,0,0,217
0,1,3,7.7333,0,21.0,0,0,0,113
0,1,3,7.875,0,29.0,0,0,0,694
0,3,3,14.4,1,28.0,1,1,2,149
0,1,3,20.2125,0,18.0,1,1,2,551
0,1,3,7.25,0,28.0,0,0,0,684
1,3,2,26.0,1,28.0,1,0,1,120
1,2,2,26.0,1,19.0,0,0,0,518
0,1,3,7.75,0,28.0,0,0,0,194
1,1,3,8.05,0,32.0,0,0,0,519
1,1,1,26.55,0,28.0,0,0,0,65
1,3,3,16.1,1,28.0,1,0,1,633
1,3,2,26.0,1,42.0,1,0,1,378
0,1,3,7.125,0,17.0,0,0,0,320
0,1,1,55.9,0,50.0,1,0,1,584
1,2,1,120.0,1,14.0,1,2,3,106
0,2,3,34.375,1,21.0,2,2,4,196
1,3,2,18.75,1,24.0,2,3,5,538
0,1,1,263.0,0,64.0,1,4,5,198
0,1,2,10.5,0,31.0,0,0,0,342
1,3,2,26.25,1,45.0,1,1,2,259
0,1,3,9.5,0,20.0,0,0,0,245
0,1,3,7.775,0,25.0,1,0,1,515
1,2,2,13.0,1,28.0,0,0,0,534
1,1,3,8.1125,0,28.0,0,0,0,310
1,4,1,81.8583,0,4.0,0,2,2,164
1,2,2,19.5,1,13.0,0,1,1,414
1,1,1,26.55,0,34.0,0,0,0,575
1,2,3,19.2583,1,5.0,2,1,3,35
1,7,1,30.5,0,52.0,0,0,0,517
0,1,2,27.75,0,36.0,1,2,3,671
0,1,3,19.9667,0,28.0,1,0,1,241
0,1,1,27.75,0,30.0,0,0,0,197
1,1,1,89.1042,0,49.0,1,0,1,226
0,1,3,8.05,0,28.0,0,0,0,503
1,1,3,7.8958,0,29.0,0,0,0,301
0,1,1,26.55,0,65.0,0,0,0,420
1,3,1,51.8625,1,28.0,1,0,1,331
1,2,2,10.5,1,50.0,0,0,0,638
0,1,3,7.75,0,28.0,0,0,0,474
1,1,1,26.55,0,48.0,0,0,0,15
0,1,3,8.05,0,34.0,0,0,0,437
0,1,1,38.5,0,47.0,0,0,0,216
0,1,2,13.0,0,48.0,0,0,0,421
0,1,3,8.05,0,28.0,0,0,0,389
0,1,3,7.05,0,38.0,0,0,0,229
0,1,2,0.0,0,28.0,0,0,0,96
0,1,1,26.55,0,56.0,0,0,0,600
0,1,3,7.725,0,28.0,0,0,0,571
1,2,3,19.2583,1,0.75,2,1,3,35
0,1,3,7.25,0,28.0,0,0,0,328
0,1,3,8.6625,0,38.0,0,0,0,90
1,3,2,27.75,1,33.0,1,2,3,671
1,3,2,13.7917,1,23.0,0,0,0,309
0,2,3,9.8375,1,22.0,0,0,0,617
0,1,1,52.0,0,28.0,0,0,0,122
0,1,2,21.0,0,34.0,1,0,1,531
0,1,3,7.0458,0,29.0,1,0,1,77
0,1,3,7.5208,0,22.0,0,0,0,324
1,2,3,12.2875,1,2.0,0,1,1,276
0,4,3,46.9,0,9.0,5,2,7,230
0,1,2,0.0,0,28.0,0,0,0,205
0,1,3,8.05,0,50.0,0,0,0,555
1,3,3,9.5875,1,63.0,0,0,0,648
1,1,1,91.0792,0,25.0,1,0,1,63
0,2,3,25.4667,1,28.0,3,1,4,355
1,3,1,90.0,1,35.0,1,0,1,290
0,1,1,29.7,0,58.0,0,0,0,330
0,1,3,8.05,0,30.0,0,0,0,605
1,4,3,15.9,0,9.0,1,1,2,137
0,1,3,19.9667,0,28.0,1,0,1,241
0,1,3,7.25,0,21.0,0,0,0,683
0,1,1,30.5,0,55.0,0,0,0,430
0,1,1,49.5042,0,71.0,0,0,0,25
0,1,3,8.05,0,21.0,0,0,0,611
0,1,3,14.4583,0,28.0,0,0,0,691
1,2,1,78.2667,1,54.0,1,0,1,187
0,1,3,15.1,0,28.0,0,0,0,578
0,3,1,151.55,1,25.0,1,2,3,12
0,1,3,7.7958,0,24.0,0,0,0,625
0,1,3,8.6625,0,17.0,0,0,0,94
0,2,3,7.75,1,21.0,0,0,0,97
0,2,3,7.6292,1,28.0,0,0,0,478
0,2,3,9.5875,1,37.0,0,0,0,345
1,2,1,86.5,1,16.0,0,0,0,388
0,1,1,108.9,0,18.0,1,0,1,505
1,3,2,26.0,1,33.0,0,2,2,525
1,1,1,26.55,0,28.0,0,0,0,76
0,1,3,22.525,0,28.0,0,0,0,481
1,1,3,56.4958,0,26.0,0,0,0,349
1,1,3,7.75,0,29.0,0,0,0,148
0,1,3,8.05,0,28.0,0,0,0,667
1,1,1,26.2875,0,36.0,0,0,0,406
1,3,1,59.4,1,54.0,1,0,1,554
0,1,3,7.4958,0,24.0,0,0,0,125
0,1,1,34.0208,0,47.0,0,0,0,662
1,3,2,10.5,1,34.0,0,0,0,360
0,1,3,24.15,0,28.0,0,0,0,558
1,3,2,26.0,1,36.0,1,0,1,22
0,1,3,7.8958,0,32.0,0,0,0,501
1,2,1,93.5,1,30.0,0,0,0,509
0,1,3,7.8958,0,22.0,0,0,0,660
0,1,3,7.225,0,28.0,0,0,0,343
1,3,1,57.9792,1,44.0,0,1,1,275
0,1,3,7.2292,0,28.0,0,0,0,326
0,1,3,7.75,0,40.5,0,0,0,189
1,2,2,10.5,1,50.0,0,0,0,539
0,1,1,221.7792,0,28.0,0,0,0,190
0,1,3,7.925,0,39.0,0,0,0,566
0,1,2,11.5,0,23.0,2,1,3,277
1,2,2,26.0,1,2.0,1,1,2,525
0,1,3,7.2292,0,28.0,0,0,0,641
0,1,3,7.2292,0,17.0,1,1,2,182
1,3,3,22.3583,1,28.0,0,2,2,511
0,2,3,8.6625,1,30.0,0,0,0,90
1,2,2,26.25,1,7.0,0,2,2,259
0,7,1,26.55,0,45.0,0,0,0,87
1,2,1,106.425,1,30.0,0,0,0,352
0,1,3,14.5,0,28.0,0,0,0,542
1,2,1,49.5,1,22.0,0,2,2,204
1,2,1,71.0,1,36.0,0,2,2,141
0,2,3,31.275,1,9.0,4,2,6,17
0,2,3,31.275,1,11.0,4,2,6,17
1,1,2,26.0,0,32.0,1,0,1,50
0,1,1,106.425,0,50.0,1,0,1,169
0,1,1,26.0,0,64.0,0,0,0,460
1,3,2,26.0,1,19.0,1,0,1,50
1,1,2,13.8625,0,28.0,0,0,0,490
0,1,3,20.525,0,33.0,1,1,2,228
1,4,2,36.75,0,8.0,1,1,2,155
1,1,1,110.8833,0,17.0,0,2,2,629
0,1,2,26.0,0,27.0,0,0,0,576
0,1,3,7.8292,0,28.0,0,0,0,471
1,1,3,7.225,0,22.0,0,0,0,354
1,2,3,7.775,1,22.0,0,0,0,480
0,1,1,26.55,0,62.0,0,0,0,686
1,3,1,39.6,1,48.0,1,0,1,175
0,1,1,227.525,0,28.0,0,0,0,543
1,3,1,79.65,1,39.0,1,1,2,627
1,3,3,17.4,1,36.0,1,0,1,695
0,1,3,7.75,0,28.0,0,0,0,438
0,1,3,7.8958,0,40.0,0,0,0,590
0,1,2,13.5,0,28.0,0,0,0,465
0,1,3,8.05,0,28.0,0,0,0,585
0,2,3,8.05,1,28.0,0,0,0,412
0,1,3,24.15,0,24.0,2,0,2,155
0,1,3,7.8958,0,19.0,0,0,0,616
0,3,3,21.075,1,29.0,0,4,4,492
0,1,3,7.2292,0,28.0,0,0,0,165
1,1,3,7.8542,0,32.0,0,0,0,317
1,1,2,10.5,0,62.0,0,0,0,255
